GitHub URL,Name/Repo,About,Where it Fits,Connectors,Languages
https://github.com/Mintplex-Labs/anything-llm,Mintplex-Labs/anything-llm,,,,
https://github.com/mlc-ai/mlc-llm,mlc-ai/mlc-llm,,Local LLM runtime,,
https://github.com/modelcontextprotocol/rust-sdk,modelcontextprotocol/rust-sdk,,,,Rust
https://github.com/MotiaDev/motia,MotiaDev/motia,,,,
https://github.com/mudler/LocalAGI,mudler/LocalAGI,"LocalAGI is a powerful, self-hostable AI Agent platform designed for maximum privacy and flexibility. A complete drop-in replacement for OpenAI's Responses APIs with advanced agentic capabilities. No clouds. No data leaks. Just pure local AI that works on consumer-grade hardware (CPU and GPU).",,,
https://github.com/mudler/LocalRecall,mudler/LocalRecall,100% Local Memory layer and Knowledge base for agents with WebUI,,,
https://github.com/neo4j-labs/graph,neo4j-labs/graph,,DB/Storage client,,
https://github.com/neo4j-labs/neo4rs,neo4j-labs/neo4rs,,DB/Storage client,,
https://github.com/netdata/netdata,netdata/netdata,"Instant Insights – With Netdata you can access per-second metrics and visualizations.,,,
Zero Configuration – You can deploy immediately without complex setup.,,,,,
ML-Powered – You can detect anomalies, predict issues, and automate analysis.,,,
Efficient – You can monitor with minimal resource usage and maximum scalability.,,,,,
Secure & Distributed – You can keep your data local with no central collection needed.,,,,,
With Netdata, you get real-time, per-second updates. Clear insights at a glance, no complexity.",,,
https://github.com/neuml/txtai,neuml/txtai,,,,
https://github.com/nomic-ai/gpt4all,nomic-ai/gpt4all,Full-stack runs large language models (LLMs) privately on everyday desktops & laptops. No API calls or GPUs required ,,,
https://github.com/nomic-ai/gpt4all,nomic-ai/gpt4all,,,,
https://github.com/ocornut/imgui,ocornut/imgui,,UI (Web/Desktop),,
https://github.com/ollama/ollama,ollama/ollama,,Local LLM runtime,,
https://github.com/openai/codex,openai/codex,,,,
https://github.com/OpenDevin/OpenDevin,OpenDevin/OpenDevin,,,,
https://github.com/OpenInterpreter/open-interpreter,OpenInterpreter/open-interpreter,,,,
https://github.com/OpenMind/OM1,OpenMind/OM1,,,,
https://github.com/openrewrite/rewrite,openrewrite/rewrite,,,,
https://github.com/opensemanticsearch/open-semantic-search,opensemanticsearch/open-semantic-search,,RAG/Search,,
https://github.com/open-webui/open-webui,open-webui/open-webui,,UI (Web/Desktop),,
https://github.com/oraios/serena,oraios/serena,,,,
https://github.com/OthersideAI/self-operating-computer,OthersideAI/self-operating-computer,,,,
https://github.com/PrimeIntellect-ai/OpenDiloco,PrimeIntellect-ai/OpenDiloco,,,,
https://github.com/PSLmodels/Tax-Brain,PSLmodels/Tax-Brain,,,,
https://github.com/pydantic/duckdb-rs,pydantic/duckdb-rs,,Analytics/SQL,,Rust
https://github.com/pydantic/logfire-rust,pydantic/logfire-rust,,,,Rust
https://github.com/PyO3/pyo3,PyO3/pyo3,,,,Python
https://github.com/qdrant/rust-client,qdrant/rust-client,,RAG/Search,,Rust
https://github.com/QiuYannnn/Local-File-Organizer,QiuYannnn/Local-File-Organizer,,,,
https://github.com/refinedev/refine,refinedev/refine,,,,
https://github.com/richards199999/FileRAG,richards199999/FileRAG,,RAG/Search,,
https://github.com/rkyv/rkyv,rkyv/rkyv,,,,
